2026-01-11_00-27-39 | student_101 | score=60 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_00-27-39.jpg
2026-01-11_01-53-09 | student_101 | score=50 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_01-53-09.jpg
2026-01-11_02-09-10 | student_101 | score=50 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_02-09-10.jpg
2026-01-11_02-21-58 | student_101 | score=50 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_02-21-58.jpg
2026-01-11_02-29-23 | student_101 | score=50 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_02-29-23.jpg
2026-01-11_02-40-23 | student_101 | score=50 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_02-40-23.jpg
2026-01-11_02-47-33 | student_101 | score=60 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_02-47-33.jpg
2026-01-11_03-58-34 | student_101 | score=63 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_03-58-34.jpg
2026-01-11_04-53-41 | student_101 | score=39 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_04-53-41.jpg
2026-01-11_05-15-34 | student_101 | score=43 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_05-15-34.jpg
2026-01-11_05-20-37 | student_101 | score=50 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_05-20-37.jpg
2026-01-11_05-22-17 | student_101 | score=62 | reason=Time-based suspicious behaviour | image=student_101_2026-01-11_05-22-17.jpg
2026-01-11_08-49-40 | student_45593 | score=52 | reason=Suspicious behavior detected | image=student_45593_2026-01-11_08-49-40.jpg
